Header
rate=30
frames=194
duration=6.4
type=degree
Body
Time,Frame,NV,NH,HD,LS,LE,LH,LK,RS,RE,RH,RK,TO,TH,TV,SD
4.488000,136,0,9,2,3,88,23,-32,-16,90,44,-34,-15,-24,37,0
4.521000,137,0,10,2,3,88,23,-31,-16,90,44,-33,-15,-29,37,0
4.554000,138,0,11,2,3,88,22,-30,-17,90,44,-33,-15,-34,37,0
4.587000,139,0,12,2,2,88,22,-30,-17,90,44,-33,-15,-39,37,0
4.620000,140,0,13,2,2,88,22,-30,-17,90,44,-33,-15,-44,37,0
4.653000,141,0,14,2,1,88,22,-30,-17,90,43,-34,-15,-49,37,0
4.686000,142,0,15,2,1,89,22,-31,-18,90,43,-35,-15,-54,37,0
4.719000,143,0,15,2,0,89,22,-32,-18,90,43,-36,-15,-59,37,0
4.752000,144,0,14,2,0,90,23,-34,-18,90,43,-37,-15,-64,37,0
4.785000,145,0,14,2,-1,90,23,-35,-18,90,42,-38,-15,-69,38,0
4.818000,146,0,13,2,-2,90,23,-36,-18,90,42,-39,-15,-74,38,0
4.851000,147,0,12,2,-3,90,24,-38,-18,90,41,-40,-15,-78,38,0
4.884000,148,0,12,2,-4,90,24,-39,-18,90,40,-41,-15,-74,38,0
4.917000,149,0,11,2,-5,90,25,-40,-18,90,39,-42,-15,-69,38,0
4.950000,150,0,10,2,-6,90,25,-42,-18,90,38,-42,-14,-64,38,0
4.983000,151,0,9,2,-7,90,26,-43,-18,90,37,-43,-13,-59,38,0
5.016000,152,0,8,2,-8,90,26,-43,-17,90,36,-43,-11,-54,38,0
5.049000,153,0,7,2,-8,90,26,-44,-17,90,35,-44,-10,-49,38,0
5.082000,154,0,6,2,-9,90,27,-45,-16,90,34,-44,-8,-44,38,0
5.115000,155,0,5,3,-10,90,27,-45,-16,90,32,-44,-7,-39,38,0
5.148000,156,0,4,3,-11,90,27,-45,-15,90,31,-44,-5,-34,38,0
5.181000,157,0,3,3,-11,90,27,-45,-15,90,29,-44,-4,-29,38,0
5.214000,158,0,2,3,-12,89,28,-45,-14,90,28,-44,-2,-24,38,0
5.247000,159,0,1,3,-12,89,28,-44,-13,88,26,-44,-1,-19,38,0
5.280000,160,0,0,3,-13,88,28,-43,-12,87,25,-43,0,-14,38,0
5.313000,161,0,-1,3,-13,87,28,-42,-11,85,24,-43,1,-9,38,0
5.346000,162,0,-2,3,-14,85,28,-41,-10,84,22,-42,3,-4,38,0
5.379000,163,0,-2,3,-14,83,28,-40,-10,82,22,-41,3,-4,37,0
5.412000,164,0,-2,3,-14,80,27,-39,-10,79,21,-40,3,-4,36,0
5.445000,165,0,-2,3,-13,77,26,-38,-10,76,20,-38,3,-4,35,0
5.478000,166,0,-2,3,-13,75,25,-36,-9,74,20,-37,3,-4,34,0
5.511000,167,0,-2,3,-12,72,24,-35,-9,71,19,-36,3,-4,32,0
5.544000,168,0,-2,3,-12,69,23,-34,-9,68,18,-34,3,-4,31,0
5.577000,169,0,-2,3,-11,66,22,-32,-8,66,18,-33,3,-4,30,0
5.610000,170,0,-2,3,-11,64,21,-31,-8,63,17,-32,3,-3,29,0
